DATE,avg_sell_price_tick,price_high_b,avg_sell_price_wrds,avg_price_m,avg_buy_price_Retail,price_high_m,avg_buy_price_Inst20k,avg_buy_price_Inst50k,avg_buy_price_LR,BestBidDepth_Share_tw
2020-04-13,181.30719372,181.51,181.34817354,181.36546388,181.13863886,183.9,181.54665347,181.52066166,181.38887633,157.64989021
2020-04-14,187.00597556,188.88,187.01571511,187.0079015,186.96770755,188.55,187.05521497,186.97783564,186.99694555,162.02033885
2020-04-15,186.23980685,186.0,186.25512815,186.26440094,186.34242896,188.12,186.28924259,186.28867234,186.26544841,143.16086878
2020-04-16,189.65491313,189.73,189.65310777,189.68346692,189.60531388,191.67,189.6323097,189.57599144,189.73302562,155.58671963
2020-04-17,194.19206732,199.69,194.16780285,194.26152914,194.3064531,196.35,194.67958824,194.88805749,194.37347654,149.63706585
2020-04-20,195.81825573,195.0,195.84694639,195.85137992,195.98447135,197.47,196.10310607,196.13314656,195.84337146,160.00811332
2020-04-21,187.53332221,194.29,187.57054721,187.53177417,187.43093995,194.24,187.5458819,187.39344363,187.49007665,166.06930956
2020-04-22,192.19172324,191.81,192.19822961,192.23196283,192.29593737,193.6293,192.2840719,192.223998,192.26888771,156.73865858
2020-04-23,192.51413991,193.99,192.51944811,192.53383096,192.62799024,194.9,192.69724065,193.09437222,192.54878792,180.69015101
2020-04-24,193.98686443,193.0,193.98223015,194.01115636,194.04377515,194.95,194.01164618,194.02483738,194.0349085,176.24284185
2020-04-27,197.79272096,196.3999,197.77824349,197.80814647,198.00048591,199.82,197.84409983,197.80816389,197.83880246,177.08198179
2020-04-28,195.88836832,200.0,195.83828048,195.91294098,196.0808976,200.68,196.18166412,196.26714675,196.01886241,160.58735035
2020-04-29,198.56341139,199.488,198.59205409,198.59167749,198.74824265,200.02,198.73827781,198.72094276,198.58437602,146.73057392
2020-04-30,197.42777396,199.9,197.4501176,197.49665754,197.54546114,199.36,197.76207736,197.67553684,197.53309224,142.83359134
2020-05-01,194.32389945,196.0,194.30253847,194.34275792,194.22955539,196.51,194.35176509,194.34690385,194.38881916,124.10056729
2020-05-04,191.92332059,194.0,191.93110375,191.93363836,191.92532468,193.99,191.94961548,192.04818947,191.93481466,155.26863302
2020-05-05,198.64791209,195.832,198.65608903,198.61907324,198.62043533,199.95,198.58836015,198.22367656,198.56891735,163.98341251
2020-05-06,201.85048154,202.9,201.84879632,201.8932442,202.03283316,204.22,201.95760869,202.33057,201.93344936,156.58893611
2020-05-07,211.47644304,206.0,211.46832634,211.44495521,211.57036528,214.1799,211.25909762,211.31551228,211.42220977,151.72806718
